accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
O24592,NCED1_MAIZE,"9-cis-epoxycarotenoid dioxygenase 1, chloroplastic",VP14,,Zea mays (Maize),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q6YVJ0,NCED1_ORYSJ,"9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic",NCED1,,Oryza sativa subsp. japonica (Rice),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q9M6E8,NCED1_PHAVU,"9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic",NCED1,,Phaseolus vulgaris (Kidney bean) (French bean),GO:0009570 (C:chloroplast stroma); GO:0009535 (C:chloroplast thylakoid membrane); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
O24023,NCED1_SOLLC,"9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic",NCED1,NCE,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0009738 (P:abscisic acid-activated signaling pathway); GO:0048653 (P:anther development); GO:1901812 (P:beta-carotene biosynthetic process); GO:0016121 (P:carotene catabolic process); GO:0009835 (P:fruit ripening); GO:1901177 (P:lycopene biosynthetic process); GO:0009555 (P:pollen development); GO:0009856 (P:pollination); GO:0009737 (P:response to abscisic acid); GO:0009733 (P:response to auxin); GO:0009739 (P:response to gibberellin); GO:0009751 (P:response to salicylic acid); GO:0009651 (P:response to salt stress); GO:0009414 (P:response to water deprivation); GO:0016123 (P:xanthophyll biosynthetic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
O49505,NCED2_ARATH,"9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic",NCED2,,Arabidopsis thaliana (Mouse-ear cress),GO:0009507 (C:chloroplast); GO:0009570 (C:chloroplast stroma); GO:0009535 (C:chloroplast thylakoid membrane); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q5MBR6,NCED2_ORYSJ,"9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic",NCED2,,Oryza sativa subsp. japonica (Rice),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
K4CJJ1,NCED2_SOLLC,"9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic",NCED2,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process); GO:0009737 (P:response to abscisic acid); GO:0009414 (P:response to water deprivation),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q9LRR7,NCED3_ARATH,"9-cis-epoxycarotenoid dioxygenase NCED3, chloroplastic",NCED3,STO1,Arabidopsis thaliana (Mouse-ear cress),GO:0009507 (C:chloroplast); GO:0009570 (C:chloroplast stroma); GO:0009535 (C:chloroplast thylakoid membrane); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process); GO:0042538 (P:hyperosmotic salinity response); GO:0006970 (P:response to osmotic stress); GO:0009414 (P:response to water deprivation),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q5MBR5,NCED3_ORYSJ,"9-cis-epoxycarotenoid dioxygenase NCED3, chloroplastic",NCED3,,Oryza sativa subsp. japonica (Rice),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q69NX5,NCED4_ORYSJ,"9-cis-epoxycarotenoid dioxygenase NCED4, chloroplastic",NCED4,,Oryza sativa subsp. japonica (Rice),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q9C6Z1,NCED5_ARATH,"Probable 9-cis-epoxycarotenoid dioxygenase NCED5, chloroplastic",NCED5,,Arabidopsis thaliana (Mouse-ear cress),GO:0009507 (C:chloroplast); GO:0009570 (C:chloroplast stroma); GO:0009535 (C:chloroplast thylakoid membrane); GO:0009579 (C:thylakoid); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process); GO:0009414 (P:response to water deprivation); GO:0010162 (P:seed dormancy process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q5MBR3,NCED5_ORYSJ,"9-cis-epoxycarotenoid dioxygenase NCED5, chloroplastic",NCED5,,Oryza sativa subsp. japonica (Rice),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q9LRM7,NCED6_ARATH,"9-cis-epoxycarotenoid dioxygenase NCED6, chloroplastic",NCED6,,Arabidopsis thaliana (Mouse-ear cress),GO:0009507 (C:chloroplast); GO:0009570 (C:chloroplast stroma); GO:0009535 (C:chloroplast thylakoid membrane); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process); GO:0010114 (P:response to red light); GO:0009639 (P:response to red or far red light),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q9M9F5,NCED9_ARATH,"9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic",NCED9,,Arabidopsis thaliana (Mouse-ear cress),GO:0009507 (C:chloroplast); GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process); GO:0010162 (P:seed dormancy process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
C3VEQ3,NCED_ONCHC,"9-cis-epoxycarotenoid dioxygenase, chloroplastic",NCED,NCED51,Oncidium hybrid cultivar (Orchid),GO:0009570 (C:chloroplast stroma); GO:0045549 (F:9-cis-epoxycarotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0009688 (P:abscisic acid biosynthetic process); GO:0016121 (P:carotene catabolic process),1.13.11.51,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
A0A7U2F7E3,NDSA_PHANO,Non-reducing polyketide synthase ndsA,ndsA,,Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0008168 (F:methyltransferase activity); GO:0031177 (F:phosphopantetheine binding); GO:0008236 (F:serine-type peptidase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0006508 (P:proteolysis); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR049492 (BD-FAE-like_dom); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR001375 (Peptidase_S9_cat); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF20434 (BD-FAE); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00326 (Peptidase_S9); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH); PF16073 (SAT)
G4NEB1,NEC1_PYRO7,Highly reducing polyketide synthase NEC1,NEC1,,Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae),GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
Q9VFS2,NINAB_DROME,Carotenoid isomerooxygenase,ninaB,beta-diox,Drosophila melanogaster (Fruit fly),"GO:0003834 (F:beta-carotene 15,15'-dioxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0106422 (F:carotenoid isomerooxygenase activity); GO:0046872 (F:metal ion binding); GO:0004497 (F:monooxygenase activity); GO:0016121 (P:carotene catabolic process); GO:0016119 (P:carotene metabolic process); GO:0007602 (P:phototransduction); GO:0007604 (P:phototransduction, UV); GO:0007603 (P:phototransduction, visible light); GO:0042574 (P:retinal metabolic process); GO:0042572 (P:retinol metabolic process); GO:0016063 (P:rhodopsin biosynthetic process); GO:0035238 (P:vitamin A biosynthetic process); GO:0009110 (P:vitamin biosynthetic process)",1.13.11.65,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
A8Y9I2,NINAB_GALME,Carotenoid isomerooxygenase,ninaB,,Galleria mellonella (Greater wax moth),"GO:0003834 (F:beta-carotene 15,15'-dioxygenase activity); GO:0106422 (F:carotenoid isomerooxygenase activity); GO:0046872 (F:metal ion binding); GO:0004497 (F:monooxygenase activity); GO:0016121 (P:carotene catabolic process); GO:0042574 (P:retinal metabolic process); GO:0042572 (P:retinol metabolic process)",1.13.11.65,IPR004294 (Carotenoid_Oase); IPR000595 (cNMP-bd_dom),PF03055 (RPE65)
B4ER95,NORA2_STRON,Spectinabilin polyketide synthase system protein NorA',norA',,Streptomyces orinoci (Streptoverticillium orinoci),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0033068 (P:macrolide biosynthetic process),2.3.1.290,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR055123 (SpnB-like_Rossmann); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH); PF22953 (SpnB_Rossmann)
B4ER92,NORA_STRON,Spectinabilin polyketide synthase system protein NorA,norA,,Streptomyces orinoci (Streptoverticillium orinoci),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0033068 (P:macrolide biosynthetic process),2.3.1.290,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR055123 (SpnB-like_Rossmann); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH); PF22953 (SpnB_Rossmann)
B4ER96,NORB_STRON,Spectinabilin polyketide synthase system protein NorB,norB,,Streptomyces orinoci (Streptoverticillium orinoci),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0008270 (F:zinc ion binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0033068 (P:macrolide biosynthetic process),2.3.1.290,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR015357 (EryA2_docking); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR015083 (NorB/c/GfsB-D-like_docking); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR002364 (Quin_OxRdtase/zeta-crystal_CS); IPR055123 (SpnB-like_Rossmann); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF08990 (Docking); PF09277 (Erythro-docking); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH); PF22953 (SpnB_Rossmann)
B4ER97,NORC_STRON,Spectinabilin polyketide synthase system protein NorC,norC,,Streptomyces orinoci (Streptoverticillium orinoci),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0033068 (P:macrolide biosynthetic process),2.3.1.290,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR015083 (NorB/c/GfsB-D-like_docking); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR036299 (Polyketide_synth_docking_sf); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR020802 (TesA-like); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08990 (Docking); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF00975 (Thioesterase)
D4AWH3,NSCA_ARTBC,Non-reducing polyketide synthase nscA,nscA,,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
E4V2N2,NSCA_ARTGP,Non-reducing polyketide synthase nscA,nscA,,Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
C5FM57,NSCA_ARTOC,Non-reducing polyketide synthase nscA,nscA,,Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
A1D8I9,NSCA_ASPF1,Non-reducing polyketide synthase nscA,nscA,,Aspergillus fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Neosartorya fischeri),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
Q4WA61,NSCA_ASPFU,Non-reducing polyketide synthase nscA,nscA,,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0019748 (P:secondary metabolic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
